Source,RunTag,Optimizer,Config,Mean_RMSE_All,Num_Chunks,Unstable_Chunks,Mean_RMSE_Stable,Std_RMSE_Stable,Stable_Chunks,Stability_Fraction,Warning_Count,OptimizerGroup
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_0.1_tol_1e-07,0.042940628868038934,10939,4069,0.018785407450916596,0.025214671330540606,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_0.01_tol_1e-06,0.04294062650126348,10939,4069,0.018785407649193033,0.025214671353524343,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_0.001_tol_1e-06,0.04294025212257122,10939,4069,0.018785407829529553,0.025214655104988142,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_0.01_tol_1e-07,0.042939956971314974,10939,4069,0.01878540828809461,0.02521467146512684,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-07_nu_0.001_tol_1e-07,0.042940267066325984,10939,4069,0.01878541170253122,0.025214656940206245,6870,0.6280281561385868,4069,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_0.001_tol_1e-07,0.04192305873693086,10939,3528,0.023197041406831265,0.030618450038447723,7411,0.6774842307340707,3528,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_0.001_tol_1e-06,0.04192525121470838,10939,3529,0.023197427765532633,0.030620481336365593,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_1.0_tol_1e-06,0.041924393965293516,10939,3529,0.023197456280790403,0.030621337533696828,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_10_tol_1e-07,0.04192439345365753,10939,3529,0.023197456479695556,0.030621337509381456,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_10_tol_1e-06,0.041924393504455086,10939,3529,0.023197456554685365,0.030621337469605114,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_1.0_tol_1e-07,0.04192440704550813,10939,3529,0.02319745680911055,0.030621337176711186,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_0.1_tol_1e-06,0.0419246405950684,10939,3529,0.023197461999680077,0.03062133913346264,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_0.1_tol_1e-07,0.041924639222489304,10939,3529,0.023197467071518926,0.03062133741096484,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_0.01_tol_1e-06,0.041924674042526054,10939,3529,0.02319747536550509,0.030621354960878498,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-06_nu_0.01_tol_1e-07,0.04192472573814135,10939,3529,0.023197475974108168,0.030621361550712878,7410,0.6773928146996984,3529,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_0.001_tol_1e-07,0.04227517990852481,10939,3002,0.027003252306061588,0.03067007131126256,7937,0.7255690648139683,3002,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_0.001_tol_1e-06,0.04227518120987617,10939,3002,0.02700325379673691,0.03067007256871741,7937,0.7255690648139683,3002,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_0.01_tol_1e-07,0.04226633373506817,10939,3003,0.02701779921968853,0.030719601624429722,7936,0.725477648779596,3003,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_0.01_tol_1e-06,0.042242293644381805,10939,3001,0.027018911762728363,0.030716707670595658,7938,0.7256604808483408,3001,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_1.0_tol_1e-07,0.04220760457377039,10939,3000,0.02702053376169469,0.03072225897627352,7939,0.7257518968827132,3000,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_0.1_tol_1e-06,0.04220745058531368,10939,3000,0.027020535435115782,0.030722263981322846,7939,0.7257518968827132,3000,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_1.0_tol_1e-06,0.04220721235306036,10939,3000,0.027020536678701107,0.03072225996285944,7939,0.7257518968827132,3000,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_10_tol_1e-07,0.04220725809363125,10939,3000,0.02702053783485506,0.030722260518955265,7939,0.7257518968827132,3000,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_10_tol_1e-06,0.04220725735121924,10939,3000,0.02702053785831188,0.03072226050234752,7939,0.7257518968827132,3000,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-05_nu_0.1_tol_1e-07,0.04223722486978923,10939,3001,0.027026027484410773,0.03072372120501379,7938,0.7256604808483408,3001,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-04_nu_10_tol_1e-06,0.052251625238852586,10939,2477,0.03512329247637194,0.03346488689383746,8462,0.7735624828594936,2477,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-04_nu_10_tol_1e-07,0.05225317385443755,10939,2477,0.03512537958087115,0.03346506476834297,8462,0.7735624828594936,2477,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-04_nu_1.0_tol_1e-06,0.05226631671927657,10939,2477,0.03514277739251631,0.03349035815635627,8462,0.7735624828594936,2477,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-04_nu_1.0_tol_1e-07,0.052248534553551586,10939,2476,0.03515227770399315,0.03347684074996278,8463,0.7736538988938659,2476,SR3_l0
try_lasso_sr3,n2,SR3,L0_thr_1e-04_nu_0.1_tol_1e-06,0.05231123643263491,10939,2477,0.03518966980351166,0.033460197217299585,8462,0.7735624828594936,2477,SR3_l0
